PlantCode,AppleCode,Exertis_Part_Number,Description,OracleItemStatus,AppleItemStatus,GoodStock,BacklogVMI,OraclePoQty,Safety_Stock,Gross_Fcst_cw,Gross_Fcst_wk1,Gross_Fcst_wk2,Gross_Fcst_wk3,InTransit,OracleInStockQty,ToOrder,DemandQtyExertisToBring215,ToOrderAllLocales,NoOfLocalesToOrder,innerqty,Outerqty,CartonAssignedQty
LU10,H9374ZM/B,STET1000400@APP,LaCie 1TB Porsche P9223 Mobile USB 3-ZML,Active,Live,361,7,0,433,67,67,67,67,70,2188,9,9,42,4,10,10,10
LU10,H9377ZM/B,STEU1000400@APP,LaCie 1TB Rugged Triple USB 3.0,Active,Live,184,7,160,258,40,40,40,40,80,236,1,1,20,3,10,10,10
LU10,H9379ZM/B,STEW3000400@APP,LaCie 3TB Porsche P9233 Desktop USB 3.0,Active,Live,91,0,210,104,16,16,16,16,24,102,-11,,10,2,10,10,0
LU10,HA131LL/A,BRFHA131LL/A@APP,Bretford Double MobilePro Mount Clamp,Active,Live,9,1,0,20,3,3,3,3,4,33,8,8,10,2,1,1,8
LU10,HA315PA/A,PLA8893808@APP,Plantronics Voyager Legend BT Head Set,Active,Live,9,0,0,7,1,1,1,1,0,53,-2,,4,2,3,12,0
LU10,HB716ZM/A,BRFHB716ZM/A@APP,Bretford Powersync Cart for iPad - Lightning,Active,Live,1,1,0,2,0,0,0,0,1,14,1,1,1,1,1,1,1
LU10,HB856ZM/B,STEW4000400@APP,LaCie 4TB Porsche P'9233 USB 3.0 Desktop Drive,Active,Live,182,1,330,246,38,38,38,38,24,270,41,41,58,3,10,10,50
LU10,HC457VC/A,RHAMA750I@APP,RHA MA750i in-ear headphones,Active,Live,146,6,0,237,38,38,38,34,14,1,83,83,120,2,12,48,0
LU10,HD193ZM/A,CEL-31145@APP,CELESTRON NEXSTAR 130SLT SKYQLINK-ZML,Active,Live,0,0,4,0,0,0,0,0,0,0,0,,0,0,1,1,0
LU10,HD505ZM/A,KENK67822WW@APP,KENSINGTON SAFESTAND F/IMAC 2010+-ZML,Active,Live,36,0,0,20,3,3,3,3,0,99,-16,,0,0,4,4,0
LU10,HD575ZM/B,TECH21-5064@APP,HD575ZM/B:TECH21 IMPACT SNAP FOR MBA11 - BLACK-ZML,Active,Live,50,1,30,65,10,10,10,10,1,106,15,15,19,2,5,15,15
LU10,HD576ZM/B,TECH21-5066@APP,HD576ZM/B:TECH21 IMPACT SNAP FOR MBA13 - BLACK-ZML,Active,Live,165,1,50,181,28,28,28,28,41,564,-24,,26,3,5,15,0
LU10,HD577ZM/B,TECH21-5068@APP,HD577ZM/B:TECH21 IMPACT SNAP FOR MBP13 - BLACK-ZML,Active,Live,44,0,0,52,8,8,8,8,1,175,7,7,11,2,5,5,10
LU10,HD579ZM/B,TECH21-5070@APP,HD579ZM/B:TECH21 IMPACT SNAP FOR MBPR13 - BLK-ZML,Active,Live,440,6,9,413,64,64,64,64,18,1166,-39,,19,2,5,15,0
LU10,HD580ZM/B,TECH21-5072@APP,HD580ZM/B:TECH21 IMPACT SNAP FOR MBPR15 - BLK-ZML,Active,Live,193,2,500,271,42,42,42,42,48,368,32,32,87,4,5,10,35
LU10,HD581ZM/B,TECH21-5065@APP,HD581ZM/B:TECH21 IMPACT SNAP FOR MBA11 - CLEAR-ZML,Active,Live,57,0,0,33,5,5,5,5,0,436,-24,,1,1,5,15,0
LU10,HD582ZM/B,TECH21-5067@APP,HD582ZM/B:TECH21 IMPACT SNAP FOR MBA13 - CLEAR-ZML,Active,Live,110,1,0,65,10,10,10,10,0,574,-44,,6,2,5,15,0
LU10,HD583ZM/B,TECH21-5069@APP,HD583ZM/B:TECH21 IMPACT SNAP FOR MBP13 - CLEAR-ZML,Active,Live,35,0,0,33,5,5,5,5,0,278,-2,,1,1,5,10,0
