PlantCode,AppleCode,Exertis_Part_Number,Description,OracleItemStatus,AppleItemStatus,GoodStock,BacklogVMI,OraclePoQty,Safety_Stock,Gross_Fcst_cw,Gross_Fcst_wk1,Gross_Fcst_wk2,Gross_Fcst_wk3,InTransit,OracleInStockQty,ToOrder,DemandQtyExertisToBring215,ToOrderAllLocales,NoOfLocalesToOrder,innerqty,Outerqty,CartonAssignedQty
LU10,HHXB2F/A,LOG920-007289@APP,HHXB2F/A:LOGITECH CANVAS IPAD AIR BLK-FRA,Active,Live,0,0,0,0,0,0,0,0,0,7,0,,16,1,4,8,0
LU10,HHXB2H/A,LOG920-007293@APP,Logitech Canvas Keyboard Case for iPad Air - Carbon Black Pan Nordic,Active,Live,0,0,32,0,0,0,0,0,0,2,0,,105,1,4,8,0
LU10,HHXB2SM/A,LOG920-007290@APP,HHXB2SM/A:LOGITECH CANVAS IPAD AIR BLK-SWM,Active,Live,0,0,0,0,0,0,0,0,0,7,0,,6,1,4,8,0
LU10,HHXB2T/A,LOG920-007291@APP,HHXB2T/A:LOGITECH CANVAS IPAD AIR BLK-ITA,Active,Live,0,0,0,0,0,0,0,0,0,0,0,,0,0,4,8,0
LU10,HHXC2B/A,LOG920-007306@APP,HHXC2B/A:LOGITECH CANVAS IPAD AIR RED-GBR,Active,Live,160,5,0,162,25,25,25,25,0,9,7,7,7,1,4,8,8
LU10,HHXC2D/A,LOG920-007300@APP,Logitech Canvas Keyboard Case for iPad Air - Mars Red Orange German,Active,Live,0,0,0,0,0,0,0,0,0,8,0,,0,0,4,8,0
LU10,HHXC2E/A,LOG920-007304@APP,Logitech Canvas Keyboard Case for iPad Air - Mars Red Orange Spanish,Active,Live,0,0,0,0,0,0,0,0,0,22,0,,0,0,4,8,0
LU10,HHXC2F/A,LOG920-007301@APP,HHXC2F/A:LOGITECH CANVAS IPAD AIR RED-FRA,Active,Live,0,0,0,0,0,0,0,0,0,20,0,,0,0,4,8,0
LU10,HHXC2H/A,LOG920-007305@APP,Logitech Canvas Keyboard Case for iPad Air - Mars Red Orange Pan Nordic,Active,Live,0,0,0,0,0,0,0,0,0,10,0,,0,0,4,8,0
LU10,HHXC2SM/A,LOG920-007302@APP,HHXC2SM/A:LOGITECH CANVAS IPAD AIR RED-SWM,Active,Live,0,0,0,0,0,0,0,0,0,22,0,,0,0,4,8,0
LU10,HHXC2T/A,LOG920-007303@APP,HHXC2T/A:LOGITECH CANVAS IPAD AIR RED-ITA,Active,Live,0,0,0,0,0,0,0,0,0,9,0,,11,1,4,8,0
LU10,HHXD2ZM/A,LOG939-001092@APP,HHXD2ZM/A:LOGITECH HINGE FOLIO IPAD AIR 2 RED-ZML,Active,Live,114,3,40,104,16,16,16,16,0,4,-7,,18,3,4,8,0
LU10,HHXM2B/A,NSTLS3000BWGBV2@APP,Nest Protect 2nd generation Smoke + Carbon Monoxide alarm (Battery) UK&IRL,Active,Live,90,7,0,117,18,18,18,18,0,183,34,34,34,1,4,4,36
LU10,HHXM2ZM/A,NSTLS3000BWFDEUV2@APP,Nest Protect 2 me g n ration D tecteur de fum e et de monoxyde de carbone (  piles),Active,Live,0,0,0,0,0,0,0,0,0,63,0,,21,1,4,4,0
LU10,HHXN2B/A,NSTLS3003LWGBV2@APP,HHXN2B/A:NEST PROTECT MONOXIDE ALARM WIRE 2-GBR,Active,Live,60,0,0,46,7,7,7,7,0,7,-14,,0,0,4,4,0
LU10,HHXN2ZM/A,NSTLS3003LWFDEU@APP,HHXN2ZM/A:NEST PROTECT MONOXIDE ALARM WIRE 2-ZML,Active,Live,0,0,0,0,0,0,0,0,0,35,0,,0,0,4,4,0
LU10,HHXP2B/A,NSTLNC1102GBV2@APP,NEST CAM-GBR,Active,Live,122,11,0,213,33,33,33,33,0,0,102,,0,0,4,4,0
LU10,HHXP2ZM/A,NSTLNC1102FDEUV2@APP,NEST CAM-ZML,Active,Live,0,0,0,0,0,0,0,0,0,43,0,,15,1,4,4,0
LU10,HHXR2ZM/A,TECH215036@APP,HHXR2ZM/A:TECH21 EVO ELITE IPH6 SPACE GREY-ZML,Active,Live,6,28,3700,826,128,128,128,128,0,17,848,848,1416,5,10,100,0
LU10,HHXS2ZM/A,TECH215040@APP,HHXS2ZM/A:TECH21 EVO ELITE IPH6P SPACE GREY-ZML,Active,Live,0,6,1450,265,41,41,41,41,0,20,271,271,516,5,10,100,0
LU10,HHXT2ZM/A,TECH215037@APP,HHXT2ZM/A:TECH21 EVO ELITE IPH6 GOLD-ZML,Active,Live,918,42,0,942,146,146,146,146,0,3537,66,66,139,4,10,100,100
LU10,HHXU2ZM/A,TECH215041@APP,HHXU2ZM/A:TECH21 EVO ELITE IPH6P GOLD-ZML,Active,Live,362,7,0,362,56,56,56,56,0,1368,7,7,47,2,10,100,10
LU10,HHXV2ZM/A,TECH215038@APP,HHXV2ZM/A:TECH21 EVO ELITE IPH6 SILVER-ZML,Active,Live,602,26,0,607,94,94,94,94,0,3751,31,31,111,4,10,100,40
LU10,HHXW2ZM/A,TECH215042@APP,HHXW2ZM/A:TECH21 EVO ELITE IPH6P SILVER-ZML,Active,Live,239,4,0,233,36,36,36,36,0,1638,-2,,23,2,10,100,0
LU10,HJ1M2B/A,HJ1M2B/A@APP,HIVE ACTIVE HEATING V2 WITH BG INSTA-GBR,Active,Live,36,0,0,26,4,4,4,4,0,167,-10,,0,0,12,12,0
LU10,HJ1N2Z/A,LAC-9000436EK@APP,LACIE FUEL 1TB WIRELESS/USB DRIVE-INT,Active,Live,160,8,0,233,36,36,36,36,0,196,81,81,107,3,9,9,81
LU10,HJ3N2ZM/A,TECH215172@APP,TECH21 EVO MESH IPH5S SMOKE-ZML,Active,Live,924,24,800,878,136,136,136,136,0,1242,-22,,104,3,10,100,0
LU10,HJ3P2ZM/A,TECH215173@APP,TECH21 EVO MESH IPH5S CLEAR-ZML,Active,Live,838,22,300,910,141,141,141,141,0,2471,94,94,219,5,10,100,100
